Area,Value,Region
Algeria,6788,Northern Africa
Angola,1089,Middle Africa
Botswana,132,Southern Africa
Burundi,122,Eastern Africa
Cameroon,839,Middle Africa
Cabo Verde,29,Western Africa
Central African Republic,16,Middle Africa
Chad,65,Middle Africa
Comoros,16,Eastern Africa
Congo,231,Middle Africa
Benin,232,Western Africa
Egypt,10464,Northern Africa
France,2276,Eastern Africa
Djibouti,272,Eastern Africa
Gabon,114,Middle Africa
Gambia,77,Western Africa
Ghana,746,Western Africa
Guinea,422,Western Africa
Côte d'Ivoire,731,Western Africa
Kenya,2029,Eastern Africa
Lesotho,75,Southern Africa
Liberia,48,Western Africa
Libya,798,Northern Africa
Madagascar,399,Eastern Africa
Malawi,125,Eastern Africa
Mali,362,Western Africa
Mauritania,685,Western Africa
Mauritius,168,Eastern Africa
Morocco,3904,Northern Africa
Mozambique,696,Eastern Africa
Namibia,141,Southern Africa
Niger,108,Western Africa
Nigeria,4687,Western Africa
Guinea-Bissau,32,Western Africa
Zimbabwe,138,Eastern Africa
Rwanda,213,Eastern Africa
Sao Tome and Principe,11,Middle Africa
Senegal,773,Western Africa
Seychelles,9,Eastern Africa
Sierra Leone,93,Western Africa
South Africa,2009,Southern Africa
Eswatini,60,Southern Africa
United Republic of Tanzania,955,Eastern Africa
Togo,142,Western Africa
Tunisia,1853,Northern Africa
Uganda,472,Eastern Africa
Burkina Faso,234,Western Africa
Ethiopia,1425,Eastern Africa
Democratic Republic of the Congo,393,Middle Africa
Zambia,44,Eastern Africa
Sudan,2156,Northern Africa
